id,LAT,LON,NO2
ACERRA ZONA INDUSTRIALE,40.979614,14.401014,36.9
AV41 SCUOLA V CIRCOLO,40.92307,14.786742,12.9
AVELLINO - SCUOLA ALIGHIERI,40.91874,14.785527,24.2
Acerra scuola Caporale,40.941032,14.369824,28.4
Ariano Irpino Villa Comunale,41.156166,15.096516,7.2
Aversa scuola Cirillo,40.975487,14.21144,20.0
BATTIPAGLIA - PARCO FIUME,40.61107,14.97584,11.7
BENEVENTO CAMPO SPORTIVO,41.115704,14.779966,11.7
BENEVENTO ZONA INDUSTRIALE,41.1515,14.825,6.7
BN32 Via Mustilli,41.13145,14.789388,21.0
CAVA DEI TIRRENI - STADIO,40.710995,14.70236,16.5
CE51 ISTITUTO MANZONI,41.07847,14.338443,40.9
CE52 SCUOLA DE AMICIS,41.076138,14.331253,42.3
CE54 SCUOLA SETTEMBRINI,41.045902,14.378083,53.8
Casoria Scuola Palizzi (CAM),40.914627,14.298666,38.3
NA01 OSSERVATORIO ASTRONOMICO,40.8639,14.2556,6.4
NA02 OSPEDALE SANTOBONO,40.84938,14.231112,46.3
NA06 MUSEO NAZIONALE,40.853546,14.251571,58.2
NA07 ENTE FERROVIE,40.85416,14.271737,135.1
NA08 OSPEDALE NUOVO PELLEGRINI,40.872253,14.275957,95.1
NA09 I.T.I.S. ARGINE,40.863895,14.341507,43.2
Napoli parco Virgiliano,40.798634,14.179681,9.1
Napoli via Epomeo,40.844933,14.20567,29.4
Nocera Inferiore scuola Solimene,40.740356,14.643459,14.6
OTTATI - ALBURNI,40.470596,15.298723,4.2
Polla Area tritovagliatore,40.486908,15.527995,12.9
Pomigliano d'Arco Area ASI,40.920876,14.384982,26.0
Portici parco Reggia,40.815876,14.349276,26.2
Pozzuoli ex Villa Avellino,40.822716,14.122878,45.2
SA22 Ospedale via Vernieri,40.68224,14.766265,38.3
SA23 SCUOLA OSVALDO CONTI,40.69535,14.777522,45.8
San Felice a Cancello Complesso scolastico,40.99039,14.423959,21.2
San Vitaliano Scuola Elementare Marconi,40.924335,14.481439,24.2
Torre Annunziata Scuola Media Pascoli,40.760567,14.438145,37.8
Volla via Filichito,40.88637,14.34998,43.6
Pianodardine STIR,40.94249,14.829964,29.0
Tufino STIR,40.94485,14.580414,30.0
S. Maria Capua V. STIR,41.049484,14.242942,25.0
Battipaglia STIR,40.596935,15.018091,17.0
